ideological_scale,share,scale
0,"0,0253164557",0-10
1,"0,03797468354",0-10
2,"0,07594936709",0-10
3,"0,08860759494",0-10
4,"0,07594936709",0-10
5,"0,2151898734",0-10
6,"0,1139240506",0-10
7,"0,1518987342",0-10
8,"0,1265822785",0-10
9,"0,03797468354",0-10
10,"0,05063291139",0-10
