run,tau_hat,c,theta,rho_s,rho_pi,alpha,mu,epsilon,delta_cenp,trigger_rate,cond_switching,total_switching,enp_final
0,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,0.0007037396187991318,0.5285,0.001892147587511826,0.001,5.1612636838003425
1,2.241943359375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,0.0007190486171712029,0.039,0.02564102564102564,0.001,5.111638177803222
2,0.503662109375,2.0963134765625,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,1.4315043376989054e-05,0.6525,0.0030651340996168583,0.002,5.9822387332011235
3,0.503662109375,1.2852783203125,2.518798828125,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,0.0,0.59,0.0,0.0,5.305250872050611
4,0.503662109375,1.2852783203125,1.508935546875,185.0634765625,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,0.0001870216123643631,0.52,0.0009615384615384616,0.0005,5.243879736862115
5,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,142.77587890625,0.7598144531250001,0.24169921875,0.3143310546875,0.000755563579591001,0.584,0.0017123287671232876,0.001,5.358023103795623
6,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.304541015625,0.24169921875,0.3143310546875,0.00037365516243142993,0.5425,0.0009216589861751152,0.0005,5.279663791009787
7,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.13232421875,0.3143310546875,0.0003230713062139512,0.605,0.0024793388429752068,0.0015,5.1878924964916875
8,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.4356201171875,0.00037519326157724187,0.5355,0.0009337068160597573,0.0005,5.413115437393259
9,2.241943359375,2.0963134765625,2.518798828125,185.0634765625,142.77587890625,0.304541015625,0.13232421875,0.4356201171875,0.000418851580278812,0.136,0.051470588235294115,0.007,5.982202946234952
10,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,0.0007493640538015697,0.239,0.006276150627615063,0.0015,5.693739448789082
11,0.991943359375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,0.0013829981704674282,0.434,0.03110599078341014,0.0135,5.674370570444474
12,1.753662109375,0.7213134765625,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,0.00015133099333075606,0.0275,0.01818181818181818,0.0005,3.165363328316232
13,1.753662109375,2.6602783203125,1.1687988281250001,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,-0.0001700095784615413,0.2275,0.013186813186813187,0.003,5.71830486570561
14,1.753662109375,2.6602783203125,2.858935546875,90.0634765625,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,-0.0004337786804851987,0.2565,0.017543859649122806,0.0045,5.712033541060953
15,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,45.27587890625,0.309814453125,0.74169921875,0.0893310546875,-0.002022892613404187,0.286,0.006993006993006993,0.002,5.680591690430475
16,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.754541015625,0.74169921875,0.0893310546875,2.2228018860731558e-05,0.241,0.01037344398340249,0.0025,5.63504093857242
17,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.63232421875,0.0893310546875,-0.0010605031169974993,0.2525,0.0039603960396039604,0.001,5.671554601474037
18,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.2106201171875,0.0,0.252,0.003968253968253968,0.001,5.777357956432944
19,0.991943359375,0.7213134765625,1.1687988281250001,90.0634765625,45.27587890625,0.754541015625,0.63232421875,0.2106201171875,0.003107721627411575,0.1335,0.052434456928838954,0.007,3.410303892179831
20,2.378662109375,0.5977783203125,0.833935546875,54.9951171875,64.89013671875,0.08481445312500001,0.49169921875,0.2018310546875,0.0,0.012,0.0,0.0,3.161630452824521
