ideological_scale,share,scale
0,"0,05307994758",0-10
1,"0,04587155963",0-10
2,"0,08650065531",0-10
3,"0,1146788991",0-10
4,"0,0996068152",0-10
5,"0,2162516383",0-10
6,"0,1087811271",0-10
7,"0,123197903",0-10
8,"0,09239842726",0-10
9,"0,02817824377",0-10
10,"0,03145478375",0-10
