ideological_scale,share,scale
0,"0,0769621232",0-10
1,"0,01518430488",0-10
2,"0,05347842356",0-10
3,"0,1017542678",0-10
4,"0,09387084302",0-10
5,"0,2422283678",0-10
6,"0,101285537",0-10
7,"0,1181646113",0-10
8,"0,1089064021",0-10
9,"0,0240490374",0-10
10,"0,06411608186",0-10
