ideological_scale,left_right_position
-1,"0,0253164557"
"-0,8","0,03797468354"
"-0,6","0,07594936709"
"-0,4","0,08860759494"
"-0,2","0,07594936709"
0,"0,2151898734"
"0,2","0,1139240506"
"0,4","0,1518987342"
"0,6","0,1265822785"
"0,8","0,03797468354"
1,"0,05063291139"
