election_year,party,electoral_share_R1,electoral_share_R2
2002,LO,"0,05745856354",
2002,LCR,"0,04269211452",
2002,PCF,"0,03385233551",
2002,PS,"0,1625313913",
2002,PRG,"0,02330487192",
2002,LV,"0,05273731793",
2002,MDC,"0,0535409342",
2002,CAP21,"0,01888498242",
2002,CPNT,"0,04249121045",
2002,UDF,"0,06870919136",
2002,DL,"0,03927674535",
2002,RPR,"0,1996986439","0,8221"
2002,FRS,"0,01195379206",
2002,FN,"0,1693621296","0,1779"
2002,MNR,"0,02350577599",
