run,tau_hat,c,theta,rho_s,rho_pi,alpha,mu,epsilon,delta_cenp,trigger_rate,cond_switching,total_switching,enp_final
0,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,0.000826683261830774,0.57,0.0035087719298245615,0.002,5.883650805324704
1,2.241943359375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,0.005893465666640396,0.101,0.10396039603960396,0.0105,5.755544747921529
2,0.503662109375,2.0963134765625,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,0.00045434272252872776,0.75,0.005333333333333333,0.004,7.672801071123029
3,0.503662109375,1.2852783203125,2.518798828125,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,0.0002488863045690404,0.705,0.0014184397163120568,0.001,6.1201383151259225
4,0.503662109375,1.2852783203125,1.508935546875,185.0634765625,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,0.001357784417860941,0.5695,0.0026338893766461808,0.0015,5.917404862923316
5,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,142.77587890625,0.7598144531250001,0.24169921875,0.3143310546875,0.0010923163413561476,0.5495,0.00272975432211101,0.0015,6.088595147998527
6,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.304541015625,0.24169921875,0.3143310546875,0.0007292661984893978,0.5495,0.0018198362147406734,0.001,6.003842459173872
7,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.13232421875,0.3143310546875,0.00122888393143733,0.528,0.004734848484848485,0.0025,5.87927496781097
8,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.4356201171875,-8.821632357694509e-05,0.621,0.001610305958132045,0.001,6.416508392792978
9,2.241943359375,2.0963134765625,2.518798828125,185.0634765625,142.77587890625,0.304541015625,0.13232421875,0.4356201171875,0.010689750352199087,0.245,0.13673469387755102,0.0335,7.672065243242828
10,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,-0.002230564051030979,0.33,0.016666666666666666,0.0055,7.825185359078193
11,0.991943359375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,0.0027251434648115774,0.582,0.028350515463917526,0.0165,7.797240556567032
12,1.753662109375,0.7213134765625,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,0.0,0.052,0.0,0.0,3.234189261521395
13,1.753662109375,2.6602783203125,1.1687988281250001,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,0.00159680966897938,0.3735,0.014725568942436412,0.0055,7.788525943579917
14,1.753662109375,2.6602783203125,2.858935546875,90.0634765625,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,7.926816948382667e-05,0.3375,0.016296296296296295,0.0055,7.851666319884736
15,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,45.27587890625,0.309814453125,0.74169921875,0.0893310546875,0.001603986908668427,0.3355,0.010432190760059613,0.0035,7.881369624413332
16,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.754541015625,0.74169921875,0.0893310546875,-0.0004599116236100771,0.3965,0.029003783102143757,0.0115,7.832417593176398
17,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.63232421875,0.0893310546875,0.0006688453628858372,0.3495,0.012875536480686695,0.0045,7.898644592587912
18,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.2106201171875,-0.00015028877042702962,0.371,0.022911051212938006,0.0085,7.867139744003272
19,0.991943359375,0.7213134765625,1.1687988281250001,90.0634765625,45.27587890625,0.754541015625,0.63232421875,0.2106201171875,0.0017403133747933008,0.1555,0.07395498392282958,0.0115,3.6102712216255255
20,2.378662109375,0.5977783203125,0.833935546875,54.9951171875,64.89013671875,0.08481445312500001,0.49169921875,0.2018310546875,1.65084959039552e-05,0.063,0.023809523809523808,0.0015,3.3174207716984196
21,1.616943359375,0.5977783203125,0.833935546875,54.9951171875,64.89013671875,0.08481445312500001,0.49169921875,0.2018310546875,0.0001560272122684836,0.0875,0.011428571428571429,0.001,3.164907505578149
22,2.378662109375,1.4088134765625,0.833935546875,54.9951171875,64.89013671875,0.08481445312500001,0.49169921875,0.2018310546875,0.0015700895668067094,0.0965,0.046632124352331605,0.0045,5.765549687507208
23,2.378662109375,0.5977783203125,0.493798828125,54.9951171875,64.89013671875,0.08481445312500001,0.49169921875,0.2018310546875,0.0,0.0545,0.0,0.0,3.2595055330106417
24,2.378662109375,0.5977783203125,0.833935546875,42.5634765625,64.89013671875,0.08481445312500001,0.49169921875,0.2018310546875,5.414243506485228e-05,0.0515,0.04854368932038835,0.0025,3.244451582237925
25,2.378662109375,0.5977783203125,0.833935546875,54.9951171875,191.52587890625,0.08481445312500001,0.49169921875,0.2018310546875,-7.1593260434488215e-06,0.0605,0.008264462809917356,0.0005,3.3371989220847484
26,2.378662109375,0.5977783203125,0.833935546875,54.9951171875,64.89013671875,0.079541015625,0.49169921875,0.2018310546875,-2.3653901972675584e-06,0.0555,0.009009009009009009,0.0005,3.3224302248122415
27,2.378662109375,0.5977783203125,0.833935546875,54.9951171875,64.89013671875,0.08481445312500001,0.88232421875,0.2018310546875,0.0,0.057,0.0,0.0,3.216659724042762
28,2.378662109375,0.5977783203125,0.833935546875,54.9951171875,64.89013671875,0.08481445312500001,0.49169921875,0.3231201171875,2.225376901299203e-05,0.096,0.015625,0.0015,3.946773808419652
29,1.616943359375,1.4088134765625,0.493798828125,42.5634765625,191.52587890625,0.079541015625,0.88232421875,0.3231201171875,0.00995033354591815,0.2535,0.04930966469428008,0.0125,6.336292381875668
30,1.128662109375,1.9727783203125,2.183935546875,149.9951171875,162.39013671875,0.534814453125,0.99169921875,0.4268310546875,0.0014588428893683586,0.5115,0.01466275659824047,0.0075,7.644792367439302
31,2.866943359375,1.9727783203125,2.183935546875,149.9951171875,162.39013671875,0.534814453125,0.99169921875,0.4268310546875,0.0002826334894437191,0.1195,0.0041841004184100415,0.0005,7.683914493399517
32,1.128662109375,2.7838134765625,2.183935546875,149.9951171875,162.39013671875,0.534814453125,0.99169921875,0.4268310546875,-0.0010887115663642533,0.525,0.01619047619047619,0.0085,7.956462238630214
33,1.128662109375,1.9727783203125,1.8437988281250002,149.9951171875,162.39013671875,0.534814453125,0.99169921875,0.4268310546875,0.003179628188149007,0.4515,0.024363233665559248,0.011,7.61208799573723
34,1.128662109375,1.9727783203125,2.183935546875,137.5634765625,162.39013671875,0.534814453125,0.99169921875,0.4268310546875,0.00470750234334881,0.4225,0.02485207100591716,0.0105,7.379011876519614
35,1.128662109375,1.9727783203125,2.183935546875,149.9951171875,94.02587890625,0.534814453125,0.99169921875,0.4268310546875,0.0011148655311314926,0.4125,0.01090909090909091,0.0045,7.435718216022486
36,1.128662109375,1.9727783203125,2.183935546875,149.9951171875,162.39013671875,0.529541015625,0.99169921875,0.4268310546875,0.0020254753854009877,0.389,0.011568123393316195,0.0045,7.4132556424142
37,1.128662109375,1.9727783203125,2.183935546875,149.9951171875,162.39013671875,0.534814453125,0.38232421875,0.4268310546875,0.005140149119295757,0.4745,0.051633298208640675,0.0245,7.612348752145731
38,1.128662109375,1.9727783203125,2.183935546875,149.9951171875,162.39013671875,0.534814453125,0.99169921875,0.0981201171875,0.0032001003577852294,0.341,0.021994134897360705,0.0075,6.952024081811417
39,2.866943359375,2.7838134765625,1.8437988281250002,137.5634765625,94.02587890625,0.529541015625,0.38232421875,0.0981201171875,0.0,0.2,0.005,0.001,7.844306210337226
40,1.441162109375,0.2540283203125,2.521435546875,126.2451171875,186.76513671875,0.872314453125,0.36669921875,0.25808105468750003,0.00012513962748550433,0.157,0.07643312101910828,0.012,3.2482455413769635
41,1.304443359375,0.2540283203125,2.521435546875,126.2451171875,186.76513671875,0.872314453125,0.36669921875,0.25808105468750003,4.52496136438274e-05,0.149,0.05704697986577181,0.0085,3.029871503149552
42,1.441162109375,0.3775634765625,2.521435546875,126.2451171875,186.76513671875,0.872314453125,0.36669921875,0.25808105468750003,1.937339982349684e-05,0.1455,0.061855670103092786,0.009,3.1122785613803576
43,1.441162109375,0.2540283203125,0.831298828125,126.2451171875,186.76513671875,0.872314453125,0.36669921875,0.25808105468750003,2.2974347056003985e-05,0.1335,0.0599250936329588,0.008,3.0313777915200233
44,1.441162109375,0.2540283203125,2.521435546875,113.8134765625,186.76513671875,0.872314453125,0.36669921875,0.25808105468750003,6.018917640371324e-05,0.13,0.07307692307692308,0.0095,3.009895029910832
45,1.441162109375,0.2540283203125,2.521435546875,126.2451171875,167.15087890625,0.872314453125,0.36669921875,0.25808105468750003,-1.3762487530710743e-05,0.1435,0.059233449477351915,0.0085,3.0290730430673607
46,1.441162109375,0.2540283203125,2.521435546875,126.2451171875,186.76513671875,0.867041015625,0.36669921875,0.25808105468750003,0.000505497602185101,0.133,0.03759398496240601,0.005,3.0557957750567613
47,1.441162109375,0.2540283203125,2.521435546875,126.2451171875,186.76513671875,0.872314453125,0.25732421875,0.25808105468750003,0.0001405117321937599,0.122,0.05327868852459016,0.0065,2.9114073306325183
48,1.441162109375,0.2540283203125,2.521435546875,126.2451171875,186.76513671875,0.872314453125,0.36669921875,0.1543701171875,1.3663716741607601e-05,0.0755,0.033112582781456956,0.0025,2.525105865063393
49,1.304443359375,0.3775634765625,0.831298828125,113.8134765625,167.15087890625,0.867041015625,0.25732421875,0.1543701171875,2.5382505991489168e-05,0.095,0.06315789473684211,0.006,2.6395601436976546
50,2.691162109375,1.6290283203125,1.171435546875,31.2451171875,89.26513671875,0.422314453125,0.86669921875,0.4830810546875,0.0001847898155454969,0.063,0.007936507936507936,0.0005,7.192485291367579
51,2.554443359375,1.6290283203125,1.171435546875,31.2451171875,89.26513671875,0.422314453125,0.86669921875,0.4830810546875,0.0,0.1005,0.0,0.0,7.286903612482467
52,2.691162109375,1.7525634765625,1.171435546875,31.2451171875,89.26513671875,0.422314453125,0.86669921875,0.4830810546875,-5.8832301318520464e-05,0.1455,0.003436426116838488,0.0005,7.4103440993282526
53,2.691162109375,1.6290283203125,2.181298828125,31.2451171875,89.26513671875,0.422314453125,0.86669921875,0.4830810546875,0.0011352861295186034,0.155,0.012903225806451613,0.002,7.323780682063695
54,2.691162109375,1.6290283203125,1.171435546875,18.8134765625,89.26513671875,0.422314453125,0.86669921875,0.4830810546875,0.0,0.082,0.0,0.0,7.1423724818673
55,2.691162109375,1.6290283203125,1.171435546875,31.2451171875,69.65087890625,0.422314453125,0.86669921875,0.4830810546875,0.0010328084149793942,0.163,0.02147239263803681,0.0035,7.369196757553428
56,2.691162109375,1.6290283203125,1.171435546875,31.2451171875,89.26513671875,0.417041015625,0.86669921875,0.4830810546875,0.0018440039525030177,0.14,0.02142857142857143,0.003,7.327268797192191
57,2.691162109375,1.6290283203125,1.171435546875,31.2451171875,89.26513671875,0.422314453125,0.75732421875,0.4830810546875,0.0,0.0825,0.0,0.0,7.2666497111506745
58,2.691162109375,1.6290283203125,1.171435546875,31.2451171875,89.26513671875,0.422314453125,0.86669921875,0.3793701171875,0.0,0.1125,0.0,0.0,6.9854841639074
59,2.554443359375,1.7525634765625,2.181298828125,18.8134765625,69.65087890625,0.417041015625,0.75732421875,0.3793701171875,0.0027620973647573543,0.287,0.024390243902439025,0.007,7.058607619061064
60,2.066162109375,0.9415283203125,1.8464355468750002,173.7451171875,40.51513671875,0.197314453125,0.11669921875,0.3705810546875,0.0008342922273404385,0.122,0.06967213114754098,0.0085,5.315077812739178
61,1.929443359375,0.9415283203125,1.8464355468750002,173.7451171875,40.51513671875,0.197314453125,0.11669921875,0.3705810546875,0.0005213935216492604,0.152,0.02631578947368421,0.004,5.226845076311937
62,2.066162109375,2.4400634765625,1.8464355468750002,173.7451171875,40.51513671875,0.197314453125,0.11669921875,0.3705810546875,0.0024143348613569725,0.259,0.0444015444015444,0.0115,7.8380655654184554
63,2.066162109375,0.9415283203125,2.856298828125,173.7451171875,40.51513671875,0.197314453125,0.11669921875,0.3705810546875,0.0061856265041866365,0.148,0.13175675675675674,0.0195,5.403828071806068
64,2.066162109375,0.9415283203125,1.8464355468750002,66.3134765625,40.51513671875,0.197314453125,0.11669921875,0.3705810546875,0.0003716578919814584,0.127,0.07480314960629922,0.0095,5.204470640279999
65,2.066162109375,0.9415283203125,1.8464355468750002,173.7451171875,118.40087890625,0.197314453125,0.11669921875,0.3705810546875,-5.443435005830777e-05,0.1405,0.03202846975088968,0.0045,5.312931675698651
66,2.066162109375,0.9415283203125,1.8464355468750002,173.7451171875,40.51513671875,0.642041015625,0.11669921875,0.3705810546875,0.006557600287486809,0.131,0.1450381679389313,0.019,5.134893656352378
67,2.066162109375,0.9415283203125,1.8464355468750002,173.7451171875,40.51513671875,0.197314453125,0.50732421875,0.3705810546875,0.00035429202200809584,0.137,0.021897810218978103,0.003,5.248145436606339
68,2.066162109375,0.9415283203125,1.8464355468750002,173.7451171875,40.51513671875,0.197314453125,0.11669921875,0.26687011718750003,0.0005798878714156075,0.1025,0.04878048780487805,0.005,4.793634053976318
69,1.929443359375,2.4400634765625,2.856298828125,66.3134765625,118.40087890625,0.642041015625,0.50732421875,0.26687011718750003,0.001978488730420707,0.2675,0.022429906542056073,0.006,7.838649243962281
70,0.816162109375,2.3165283203125,0.496435546875,78.7451171875,138.01513671875,0.647314453125,0.61669921875,0.1455810546875,0.014045515147931863,0.5585,0.049239033124440466,0.0275,7.548081277739198
71,0.679443359375,2.3165283203125,0.496435546875,78.7451171875,138.01513671875,0.647314453125,0.61669921875,0.1455810546875,0.020497623632767796,0.6155,0.05361494719740049,0.033,7.497628874868322
72,0.816162109375,1.0650634765625,0.496435546875,78.7451171875,138.01513671875,0.647314453125,0.61669921875,0.1455810546875,0.014350483744795028,0.2855,0.08581436077057793,0.0245,4.462423051092513
73,0.816162109375,2.3165283203125,1.506298828125,78.7451171875,138.01513671875,0.647314453125,0.61669921875,0.1455810546875,0.004290017830336446,0.613,0.03099510603588907,0.019,7.654740580841715
74,0.816162109375,2.3165283203125,0.496435546875,161.3134765625,138.01513671875,0.647314453125,0.61669921875,0.1455810546875,0.017492429912513936,0.5785,0.05012964563526361,0.029,7.448234768359898
75,0.816162109375,2.3165283203125,0.496435546875,78.7451171875,20.90087890625,0.647314453125,0.61669921875,0.1455810546875,0.014520543041310674,0.5735,0.06015693112467306,0.0345,7.618873473368227
76,0.816162109375,2.3165283203125,0.496435546875,78.7451171875,138.01513671875,0.192041015625,0.61669921875,0.1455810546875,0.0047477621594340345,0.5505,0.02815622161671208,0.0155,7.767442763656135
77,0.816162109375,2.3165283203125,0.496435546875,78.7451171875,138.01513671875,0.647314453125,0.00732421875,0.1455810546875,0.06826362951024517,0.592,0.17567567567567569,0.104,7.1686129450812555
78,0.816162109375,2.3165283203125,0.496435546875,78.7451171875,138.01513671875,0.647314453125,0.61669921875,0.4918701171875,0.0018742425185886355,0.6095,0.02543068088597211,0.0155,7.869461374716207
79,0.679443359375,1.0650634765625,1.506298828125,161.3134765625,20.90087890625,0.192041015625,0.00732421875,0.4918701171875,0.028047466141552735,0.47,0.11595744680851064,0.0545,5.955961619783323
80,0.972412109375,0.7696533203125,1.677685546875,19.3701171875,28.32763671875,0.478564453125,0.30419921875,0.22995605468750002,0.006011421252783422,0.189,0.09788359788359788,0.0185,3.7725954891075744
81,1.148193359375,0.7696533203125,1.677685546875,19.3701171875,28.32763671875,0.478564453125,0.30419921875,0.22995605468750002,0.04164650195854136,0.2685,0.16759776536312848,0.045,3.6248366557981977
82,0.972412109375,2.9556884765625,1.677685546875,19.3701171875,28.32763671875,0.478564453125,0.30419921875,0.22995605468750002,0.038371144683740255,0.579,0.17443868739205526,0.101,7.634228828374902
83,0.972412109375,0.7696533203125,1.337548828125,19.3701171875,28.32763671875,0.478564453125,0.30419921875,0.22995605468750002,0.007434699808524625,0.19,0.16578947368421051,0.0315,3.8074931465123365
84,0.972412109375,0.7696533203125,1.677685546875,196.9384765625,28.32763671875,0.478564453125,0.30419921875,0.22995605468750002,0.00409612953543792,0.194,0.07216494845360824,0.014,3.83909581615338
85,0.972412109375,0.7696533203125,1.677685546875,19.3701171875,57.46337890625,0.478564453125,0.30419921875,0.22995605468750002,0.0008136267334361014,0.195,0.07435897435897436,0.0145,3.8685692290134948
86,0.972412109375,0.7696533203125,1.677685546875,19.3701171875,28.32763671875,0.585791015625,0.30419921875,0.22995605468750002,0.0009583722667201311,0.188,0.05319148936170213,0.01,3.946509016786476
87,0.972412109375,0.7696533203125,1.677685546875,19.3701171875,28.32763671875,0.478564453125,0.94482421875,0.22995605468750002,0.003340231826463147,0.21,0.0380952380952381,0.008,3.951015312159841
88,0.972412109375,0.7696533203125,1.677685546875,19.3701171875,28.32763671875,0.478564453125,0.30419921875,0.1262451171875,0.0035240020918057002,0.128,0.109375,0.014,3.3812627325674773
89,1.148193359375,2.9556884765625,1.337548828125,196.9384765625,57.46337890625,0.585791015625,0.94482421875,0.1262451171875,0.0046183065825423815,0.518,0.03667953667953668,0.019,7.83846491503104
90,2.222412109375,2.1446533203125,0.327685546875,114.3701171875,125.82763671875,0.028564453125,0.80419921875,0.4549560546875,0.00021820937725739245,0.2805,0.0035650623885918,0.001,7.8157972894815
91,2.398193359375,2.1446533203125,0.327685546875,114.3701171875,125.82763671875,0.028564453125,0.80419921875,0.4549560546875,0.003907552219212081,0.2415,0.026915113871635612,0.0065,7.7270496965201225
92,2.222412109375,1.5806884765625,0.327685546875,114.3701171875,125.82763671875,0.028564453125,0.80419921875,0.4549560546875,0.00024110856407752457,0.1975,0.002531645569620253,0.0005,7.097106154965312
93,2.222412109375,2.1446533203125,2.687548828125,114.3701171875,125.82763671875,0.028564453125,0.80419921875,0.4549560546875,0.0015293950922896024,0.252,0.021825396825396824,0.0055,7.643273155296024
94,2.222412109375,2.1446533203125,0.327685546875,101.9384765625,125.82763671875,0.028564453125,0.80419921875,0.4549560546875,0.00040572803456129236,0.1415,0.007067137809187279,0.001,7.856138393733941
