election_year,party,electoral_share_R1,electoral_share_R2
2022,NPA,"0,0077",
2022,LO,"0,0056",
2022,PCF,"0,0228",
2022,LFI,"0,2195",
2022,EELV,"0,0463",
2022,PS,"0,0175",
2022,RE,"0,2785","0,585"
2022,LR,"0,0478",
2022,RES,"0,0313",
2022,DLF,"0,0206",
2022,RN,"0,2315","0,4145"
2022,REC,"0,0707",
