specification,metric,mean_2002,mean_2022,diff_2022_minus_2002,sd_pooled,cohens_d,effect_size_defined,n_2002,n_2022
nearest,cliff_magnitude,0.17913166666666666,0.16146666666666665,-0.017665000000000014,0.01681759390056248,-1.0503880700442643,True,300,300
nearest,cliff_ratio,0.943286669289646,0.9051002492794277,-0.038186420010218325,0.013151909302539153,-2.903488697481051,True,300,300
nearest,conditional_switching_rate,0.10487739600052416,0.049372728780748415,-0.05550466721977575,0.1061630065929851,-0.5228249368687653,True,300,300
nearest,delta_cenp,-0.0050881718826752045,-0.0012892905789293164,0.0037988813037458883,0.01239551201889118,0.30647231820325493,True,300,300
nearest,delta_enp,0.07123440635745291,0.014182196368222483,-0.05705220998923043,0.16544725177202713,-0.34483625069725393,True,300,300
nearest,enp_final,6.150630479960212,5.375717240260949,-0.7749132396992628,0.23278756876972312,-3.32884287504982,True,300,300
nearest,enp_sincere,6.079396073602759,5.361535043892727,-0.7178610297100319,0.16235812832287214,-4.421466526655589,True,300,300
nearest,mae,0.07252869792155422,0.09660093207530397,0.024072234153749747,0.0035288360459312424,6.821579081721606,True,300,300
nearest,rmse,0.10052885158676785,0.13048506359403295,0.0299562120072651,0.003952358954874521,7.579324739803687,True,300,300
nearest,switching_rate,0.03822166666666667,0.017884999999999998,-0.02033666666666667,0.03531747536747522,-0.5758244737220157,True,300,300
nearest,top2_acc,0.0,0.0,0.0,0.0,0.0,False,300,300
nearest,top3_acc,0.0,0.0,0.0,0.0,0.0,False,300,300
nearest,top4_acc,0.0,0.0,0.0,0.0,0.0,False,300,300
nearest,trigger_rate,0.44136166666666665,0.42992499999999995,-0.011436666666666706,0.19574142801559166,-0.058427420207416314,True,300,300
prob_prior,cliff_magnitude,0.14787000000000003,0.15986375,0.01199374999999997,0.06285402426198466,0.19081912639369414,True,800,800
prob_prior,cliff_ratio,0.9239886366345952,0.8724310310449234,-0.05155760558967182,0.052008123843551496,-0.991337540742002,True,800,800
prob_prior,conditional_switching_rate,0.31387867500084105,0.33415544645837236,0.020276771457531317,0.17057128148383474,0.11887564706754562,True,800,800
