scope,parameter,permutation_importance,importance_std,relative_importance_pct,standardized_coefficient,cv_r2_mean,cv_r2_std,n_rows,seed
2002,alpha,0.15253684268008835,0.010189905082705203,7.074873543681868,-0.16688291181234777,0.8532018390023957,0.028859688193317492,1000,42
2002,beta,0.15874215370768543,0.014936742949964792,7.362684606557596,-0.09025241249953574,0.8532018390023957,0.028859688193317492,1000,42
2002,mu,0.06553612687211727,0.005234539111740643,3.0396578427635528,-0.13281817937989146,0.8532018390023957,0.028859688193317492,1000,42
2002,rho_pi,0.2900351971364967,0.017324772310563355,13.452240828539269,0.2129757506215948,0.8532018390023957,0.028859688193317492,1000,42
2002,tau_hat,1.4891859923135344,0.05677425034347136,69.07054317845773,0.14174822472701046,0.8532018390023957,0.028859688193317492,1000,42
2022,alpha,0.0030426171521848898,0.00020832962732801946,0.15147941209060217,-0.012551431833471563,0.9909196450033642,0.00402650688675279,1000,42
2022,beta,0.007351744849925542,0.0005170881610854082,0.3660131827322195,-0.04555420897888984,0.9909196450033642,0.00402650688675279,1000,42
2022,mu,0.005630711533273617,0.00032613335548017296,0.280330002116622,-0.022747972399433537,0.9909196450033642,0.00402650688675279,1000,42
2022,rho_pi,0.0037885445037201073,0.0002807785227905451,0.1886160714273561,0.031996552965656004,0.9909196450033642,0.00402650688675279,1000,42
2022,tau_hat,1.988787491638463,0.06907006469313644,99.0135613316332,0.7953989254140177,0.9909196450033642,0.00402650688675279,1000,42
pooled,alpha,0.01325756370695547,0.002573279972459653,1.3229367023289869,-0.041959000853905803,-0.18654239618907892,0.07685082371790253,2000,42
pooled,beta,0.011831264408266281,0.0016397821660533768,1.1806101231436972,-0.04883097379762482,-0.18654239618907892,0.07685082371790253,2000,42
pooled,mu,0.008041744101838565,0.0013685376660177156,0.8024640618908266,-0.04199694387866122,-0.18654239618907892,0.07685082371790253,2000,42
pooled,rho_pi,0.021775911164936646,0.003153989732296112,2.1729597340449733,0.06432184037447387,-0.18654239618907892,0.07685082371790253,2000,42
pooled,tau_hat,0.9472248871980136,0.0283180596167458,94.52102937859152,0.5647667083279047,-0.18654239618907892,0.07685082371790253,2000,42
