config_id,K,c_stratum,tau_hat,c,theta,rho_s,rho_pi,alpha,mu,epsilon,outcome,statistic,interval,span_iterations,n_seeds,mean_signed_change,mean_abs_change,sd_change,se_change,ci95_lo,ci95_hi,t_stat,p_value,q_value,ci_excludes_zero,significant_bh,mean_signed_change_per_iteration,mean_abs_change_per_iteration
K9-low-r10228,9,low,1.75122,0.600464,1.46411,171.704,30.4224,0.141943,0.617676,0.1302,delta_cenp,endpoint,T50_T100,50,8,-3.92704e-06,8.40956e-06,1.44775e-05,5.11856e-06,-1.60305e-05,8.17644e-06,-0.767214,0.468037,0.88013,False,False,-7.85407e-08,1.68191e-07
K9-medium-r00000,9,medium,0.503662,1.28528,1.50894,102.495,113.64,0.759814,0.241699,0.314331,delta_cenp,endpoint,T50_T100,50,8,2.45517e-05,0.000130066,0.000212377,7.50867e-05,-0.000153,0.000202104,0.326978,0.753244,0.945935,False,False,4.91035e-07,2.60132e-06
K9-medium-r02040,9,medium,1.33374,1.3175,2.27886,18.6279,53.4644,0.418799,0.35498,0.302026,delta_cenp,endpoint,T50_T100,50,8,0.0110824,0.017383,0.02021,0.0071453,-0.00581355,0.0279784,1.55101,0.164837,0.666682,False,False,0.000221648,0.000347659
K9-medium-r04088,9,medium,0.918701,1.31213,0.596631,174.858,94.978,0.698291,0.270996,0.389038,delta_cenp,endpoint,T50_T100,50,8,-0.00196663,0.00265927,0.00242146,0.000856116,-0.00399102,5.7761e-05,-2.29716,0.0552221,0.666682,False,False,-3.93326e-05,5.31854e-05
K9-medium-r06128,9,medium,1.54126,1.30408,0.984229,54.0674,24.7095,0.86792,0.650879,0.257642,delta_cenp,endpoint,T50_T100,50,8,-0.000208034,0.00103053,0.00113607,0.000401661,-0.00115781,0.000741743,-0.517934,0.620466,0.9307,False,False,-4.16068e-06,2.06105e-05
K9-medium-r08179,9,medium,2.05396,1.76599,1.99409,168.55,195.906,0.491748,0.766113,0.381567,delta_cenp,endpoint,T50_T100,50,8,0.00124425,0.00125059,0.00135011,0.000477336,0.000115525,0.00237297,2.60665,0.0350842,0.666682,True,False,2.48849e-05,2.50119e-05
K9-medium-r10239,9,medium,2.78638,1.47595,1.64604,178.198,118.972,0.889014,0.48877,0.3552,delta_cenp,endpoint,T50_T100,50,8,1.54925e-05,5.90455e-05,0.000129463,4.5772e-05,-9.27411e-05,0.000123726,0.338471,0.744934,0.945935,False,False,3.0985e-07,1.18091e-06
K6-high-r00002,6,high,0.503662,2.09631,1.50894,102.495,113.64,0.759814,0.241699,0.314331,delta_cenp,tail,T25_T100,75,8,-2.79582e-05,3.38816e-05,4.80327e-05,1.69821e-05,-6.81146e-05,1.21981e-05,-1.64633,0.143689,0.72154,False,False,-3.72776e-07,4.51755e-07
K6-high-r02072,6,high,0.70874,2.53674,1.60386,161.128,102.214,0.193799,0.60498,0.414526,delta_cenp,tail,T25_T100,75,8,0.000217161,0.00256978,0.00316761,0.00111992,-0.00243103,0.00286535,0.193908,0.851755,1,False,False,2.89548e-06,3.42637e-05
K6-high-r04090,6,high,2.1687,2.68713,1.94663,79.8584,192.478,0.248291,0.770996,0.209741,delta_cenp,tail,T25_T100,75,8,-2.65521e-05,0.000858825,0.0010713,0.000378763,-0.000922184,0.00086908,-0.0701022,0.946073,1,False,False,-3.54028e-07,1.1451e-05
K6-high-r06159,6,high,0.974854,2.17957,0.617725,170.405,29.4702,0.0821777,0.443848,0.370142,delta_cenp,tail,T25_T100,75,8,0.00320472,0.00895217,0.013189,0.00466303,-0.00782159,0.014231,0.687262,0.514036,0.81641,False,False,4.27296e-05,0.000119362
K6-high-r08178,6,high,1.9563,2.69519,1.39028,92.29,163.723,0.700928,0.223145,0.381567,delta_cenp,tail,T25_T100,75,8,-1.81086e-06,0.00093102,0.00111739,0.000395058,-0.000935976,0.000932354,-0.00458378,0.996471,1,False,False,-2.41448e-08,1.24136e-05
K6-high-r10229,6,high,1.53638,2.85095,2.99604,83.1982,21.4722,0.439014,0.98877,0.1302,delta_cenp,tail,T25_T100,75,8,9.89769e-06,0.000201177,0.000231339,8.17906e-05,-0.000183506,0.000203302,0.121013,0.907081,1,False,False,1.31969e-07,2.68236e-06
K6-low-r00012,6,low,1.75366,0.721313,2.85894,197.495,16.1401,0.309814,0.741699,0.0893311,delta_cenp,tail,T25_T100,75,8,1.80387e-05,2.40842e-05,3.49328e-05,1.23506e-05,-1.11659e-05,4.72433e-05,1.46055,0.187519,0.72154,False,False,2.40516e-07,3.21123e-07
K6-low-r02027,6,low,2.89624,0.973755,1.26636,137.378,126.589,0.531299,0.972168,0.358276,delta_cenp,tail,T25_T100,75,8,0,0,0,0,0,0,0,1,1,False,False,0,0
K6-low-r04112,6,low,1.5437,0.7052,2.62163,32.3584,46.228,0.473291,0.520996,0.322241,delta_cenp,tail,T25_T100,75,8,-0.000191567,0.000657798,0.00105027,0.000371327,-0.00106962,0.000686482,-0.515897,0.621817,0.883634,False,False,-2.55422e-06,8.77064e-06
K6-low-r06143,6,low,2.16626,0.616577,1.96772,101.567,170.959,0.19292,0.900879,0.39563,delta_cenp,tail,T25_T100,75,8,-1.6121e-05,2.05816e-05,4.20144e-05,1.48543e-05,-5.12459e-05,1.90039e-05,-1.08527,0.313756,0.770129,False,False,-2.14947e-07,2.74422e-07
K6-low-r08201,6,low,2.99146,0.28894,1.05278,21.04,41.8481,0.363428,0.848145,0.361353,delta_cenp,tail,T25_T100,75,8,0,0,0,0,0,0,0,1,1,False,False,0,0
K6-low-r10228,6,low,1.75122,0.600464,1.46411,171.704,30.4224,0.141943,0.617676,0.1302,delta_cenp,tail,T25_T100,75,8,-5.34801e-06,6.84144e-06,1.31324e-05,4.64299e-06,-1.63269e-05,5.63092e-06,-1.15185,0.287201,0.756471,False,False,-7.13068e-08,9.12192e-08
K6-medium-r00000,6,medium,0.503662,1.28528,1.50894,102.495,113.64,0.759814,0.241699,0.314331,delta_cenp,tail,T25_T100,75,8,3.87531e-05,6.93089e-05,8.27978e-05,2.92734e-05,-3.04676e-05,0.000107974,1.32383,0.227151,0.72154,False,False,5.16708e-07,9.24119e-07
K6-medium-r02040,6,medium,1.33374,1.3175,2.27886,18.6279,53.4644,0.418799,0.35498,0.302026,delta_cenp,tail,T25_T100,75,8,-0.00356627,0.00482447,0.00578627,0.00204575,-0.00840371,0.00127117,-1.74326,0.124815,0.72154,False,False,-4.75503e-05,6.43263e-05
K6-medium-r04088,6,medium,0.918701,1.31213,0.596631,174.858,94.978,0.698291,0.270996,0.389038,delta_cenp,tail,T25_T100,75,8,0.000129493,0.00138464,0.00175157,0.000619274,-0.00133486,0.00159384,0.209105,0.840321,1,False,False,1.72658e-06,1.84618e-05
K6-medium-r06128,6,medium,1.54126,1.30408,0.984229,54.0674,24.7095,0.86792,0.650879,0.257642,delta_cenp,tail,T25_T100,75,8,-0.00019419,0.000256185,0.00026064,9.21502e-05,-0.000412091,2.37107e-05,-2.10732,0.0730771,0.72154,False,False,-2.5892e-06,3.4158e-06
K6-medium-r08179,6,medium,2.05396,1.76599,1.99409,168.55,195.906,0.491748,0.766113,0.381567,delta_cenp,tail,T25_T100,75,8,-0.000167186,0.000207821,0.000247541,8.75189e-05,-0.000374135,3.97636e-05,-1.91028,0.0977171,0.72154,False,False,-2.22914e-06,2.77095e-06
K6-medium-r10239,6,medium,2.78638,1.47595,1.64604,178.198,118.972,0.889014,0.48877,0.3552,delta_cenp,tail,T25_T100,75,8,-1.17573e-05,2.45966e-05,4.19732e-05,1.48398e-05,-4.68478e-05,2.33331e-05,-0.792286,0.454202,0.794671,False,False,-1.56765e-07,3.27954e-07
K8-high-r00002,8,high,0.503662,2.09631,1.50894,102.495,113.64,0.759814,0.241699,0.314331,delta_cenp,tail,T25_T100,75,8,1.13655e-06,6.26106e-05,8.27289e-05,2.92491e-05,-6.80265e-05,7.02996e-05,0.0388577,0.970089,1,False,False,1.5154e-08,8.34809e-07
K8-high-r02072,8,high,0.70874,2.53674,1.60386,161.128,102.214,0.193799,0.60498,0.414526,delta_cenp,tail,T25_T100,75,8,-0.000936875,0.00181146,0.0022053,0.000779693,-0.00278056,0.000906806,-1.2016,0.268591,0.756471,False,False,-1.24917e-05,2.41528e-05
K8-high-r04090,8,high,2.1687,2.68713,1.94663,79.8584,192.478,0.248291,0.770996,0.209741,delta_cenp,tail,T25_T100,75,8,0.000194564,0.000487714,0.000603386,0.000213329,-0.00030988,0.000699007,0.912034,0.392077,0.794671,False,False,2.59418e-06,6.50285e-06
