specification,year,K,n_draws,tau_absolute_min,tau_absolute_max,metric,mean,sd,p05,p50,p95
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,cliff_magnitude,0.11417833333333334,0.030229651060391008,0.04594999999999999,0.11925,0.15049999999999997
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,cliff_ratio,0.9189048662246914,0.03221899181942503,0.8448796296296296,0.9285714285714286,0.9454137512007743
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,conditional_switching_rate,0.2851219079462126,0.23759738114898066,0.0,0.3383190954858141,0.627585687689708
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,delta_cenp,-0.02907391023807092,0.049707784947187535,-0.15234758877713953,-0.014050006031875867,0.0
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,delta_enp,0.40703474333299294,0.6959089892606256,0.0,0.1967000844462623,2.1328662428799534
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,enp_final,7.890357754049452,0.7289608532146951,7.221320525278938,7.694290480923429,9.667406446382731
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,enp_sincere,7.483323010716458,0.1659664793036541,7.180359604511377,7.482775908585086,7.746464465600647
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,mae,0.06684587220518118,0.005111486301741755,0.058905775994824716,0.06641617278004253,0.07392656956526032
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,rmse,0.08365543102185018,0.007166271899009882,0.07241000108366095,0.08383933456066475,0.09327870539084264
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,switching_rate,0.14856666666666668,0.12657106569483398,0.0,0.148,0.32692500000000013
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,top2_acc,0.0,0.0,0.0,0.0,0.0
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,top3_acc,0.0,0.0,0.0,0.0,0.0
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,top4_acc,0.0,0.0,0.0,0.0,0.0
nearest,2002,15,300,0.06668358549821254,0.39999371933525013,trigger_rate,0.491485,0.1864682734363349,0.153,0.5715,0.688625
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,cliff_magnitude,0.07893833333333333,0.017127215250286733,0.051,0.08049999999999997,0.10452500000000002
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,cliff_ratio,0.8425845439690653,0.045343564899309206,0.7499174614820249,0.8538210079885561,0.8985382631126397
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,conditional_switching_rate,0.2640015152815112,0.22257939927936002,0.0,0.24390843558920777,0.7409707844490453
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,delta_cenp,0.050992060896665296,0.06140325765898215,-0.017073399585327505,0.028352672517237665,0.17491527579400143
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,delta_enp,-0.5609126698633182,0.6754358342488037,-1.9240680337340157,-0.31187939768961437,0.1878073954386027
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,enp_final,7.338071932303507,0.6736506954397624,5.985412068790492,7.531497705984087,8.124744174958273
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,enp_sincere,7.898984602166826,0.13708340691994392,7.6739427859550915,7.901000464461217,8.11761946356381
nearest,2022,12,300,0.08335448187276567,0.49999214916906265,mae,0.09710427229890423,0.008227200143866138,0.0831201323598053,0.09751965393078615,0.10743110205374409
