regime,c,K,N_electors,metric,n_reps,T_cut,T_long,mean_at_cut,mean_at_long,mean_abs_drift,max_abs_drift,sd_between_seeds,drift_over_sd,prop_intentions_moving_at_cut
Diffuse ($c=2.5$),2.5,6,500,delta_cenp,20,25,60,0.13634613634443388,0.13598177155374339,0.10341091147432224,0.2640255590072817,0.0746036104599861,1.3861381619028617,0.95
Active B ($c=1.5$),1.5,6,500,delta_cenp,20,25,60,0.10508339173548409,0.09049125759942032,0.038735061227876996,0.11418811518847055,0.044125462248859756,0.8778392169450405,1.0
Low ($c=0.5$),0.5,6,500,delta_cenp,20,25,60,0.0009300814617729525,0.0009300814617729525,0.0,0.0,0.00040146786637355793,0.0,0.05
Diffuse ($c=2.5$),2.5,6,500,enp_final,20,25,60,5.076978214671785,5.078800038625237,0.5170545573716112,1.3201277950364085,0.4179262605669711,1.2371908782907295,0.95
Active B ($c=1.5$),1.5,6,500,enp_final,20,25,60,4.785166629131814,4.858127299812133,0.193675306139385,0.5709405759423527,0.24346998284406432,0.7954791957390024,1.0
Low ($c=0.5$),0.5,6,500,enp_final,20,25,60,2.4646618999592618,2.4646618999592618,0.0,0.0,0.07067899991783232,0.0,0.05
Diffuse ($c=2.5$),2.5,6,500,total_switching,20,25,60,0.154,0.13340000000000002,0.058399999999999994,0.158,0.04932000768344159,1.1841036273724441,0.95
Active B ($c=1.5$),1.5,6,500,total_switching,20,25,60,0.0851,0.0824,0.035699999999999996,0.12200000000000003,0.045229706120971803,0.7893042661943555,1.0
Low ($c=0.5$),0.5,6,500,total_switching,20,25,60,0.013900000000000001,0.013800000000000002,0.00010000000000000009,0.0020000000000000018,0.0052274578706550745,0.019129757230825595,0.05
