specification,year,K,n_draws,cenp_s0,cenp_sincere_mean,cenp_final_mean,start_gap,strategic,total_vs_s0,observed_vs_s0,switching_rate_mean
nearest,2002,15,300,0.571781526681024,0.5369054992345387,0.5078315889964676,-0.034876027446485366,-0.02907391023807092,-0.06394993768455629,-0.11314885027872174,0.14856666666666668
nearest,2022,12,300,0.5566851204773985,0.37281958162119766,0.4238116425178629,-0.18386553885620088,0.050992060896665296,-0.1328734779595356,0.05865607501993464,0.13838666666666666
prob_prior,2002,15,800,0.571781526681024,0.4905802427794278,0.5376504916441105,-0.08120128390159627,0.047070248864682716,-0.034131035036913546,-0.11314885027872174,0.162366875
prob_prior,2022,12,800,0.5566851204773985,0.5187444098667785,0.5478445790711862,-0.037940710610620036,0.029100169204407722,-0.008840541406212312,0.05865607501993464,0.1961175
prob_signal,2002,15,800,0.571781526681024,0.4909048745698677,0.5362808388923248,-0.08087665211115626,0.0453759643224571,-0.03550068778869916,-0.11314885027872174,0.16705625
prob_signal,2022,12,800,0.5566851204773985,0.517827054409585,0.5465809837765652,-0.0388580660678136,0.028753929366980308,-0.010104136700833292,0.05865607501993464,0.20288812499999997
prob_signal_mu0,2002,15,800,0.571781526681024,0.49022291445564925,0.5561199773065206,-0.08155861222537472,0.06589706285087144,-0.015661549374503318,-0.11314885027872174,0.11293437499999999
prob_signal_mu0,2022,12,800,0.5566851204773985,0.5186954852942434,0.6094981390775718,-0.03798963518315508,0.09080265378332841,0.05281301860017333,0.05865607501993464,0.15008749999999998
